Angle	Frequency	m	p
160	224	0.608748704375	0.0101507200926
180	224	0.546740757179	0.00276460525275

0.5	256	9.98324137805	-0.0007068174716
1	256	9.9404122176	-0.00339107114019
2	256	9.7596958537	-0.00780503620239
4	256	9.08263422308	0.0090115386066
8	256	7.24842812649	0.0966498790448
16	256	4.71910070798	0.0538971758984
24	256	3.50566943604	-0.0597810220598
32	256	2.71957036676	-0.000152471212411
40	256	2.23545114942	-0.0142178325201
48	256	1.91336877058	-0.0514132507034
56	256	1.649403612	-0.0224906559152
64	256	1.42154551948	0.0167081614789
72	256	1.28034914798	-0.0067293978356
80	256	1.13925452505	0.00770911456741
96	256	0.957138073007	-0.00294158538061
112	256	0.80217337562	0.017723985722
128	256	0.699658899701	0.00388561779538
144	256	0.630082115639	-0.0106317181675
160	256	0.557326787	-0.00595907195243
180	256	0.490830008875	0.00713445911883

0.5	320	9.98233886743	0.000299296360269
1	320	9.93725714026	0.000675336729691
2	320	9.76015780891	-0.00479450422368
4	320	9.10679080281	0.000988770432226
8	320	7.28439720116	0.0736618537723
16	320	4.79255393677	-0.00540378638614
24	320	3.46545005846	0.0102124490584
32	320	2.71192207569	0.0145851190707
40	320	2.23707185417	0.00545140550248
48	320	1.89126822357	-0.0114394036273
56	320	1.63112337932	-0.0074011311869
64	320	1.43371087763	-0.00373659671499
72	320	1.27079611372	0.00285852860376
80	320	1.14052834038	0.00414475488369
96	320	0.960968329425	-0.010436527429
112	320	0.807982067037	0.0105796901547
128	320	0.701475514105	0.00101117555607
144	320	0.622001262163	-0.00172845452325
160	320	0.548196360493	0.00600611547798
180	320	0.495241416761	-0.00331709770315

0.5	384	9.97798007763	-0.000808968701947
1	384	9.91542392955	0.00209352298296
2	384	9.67125108083	0.0139166082512
4	384	8.85688441032	0.00516010682102
8	384	6.87167229278	-0.0739870850497
16	384	4.32248781188	-0.0430415754929
24	384	3.09854931654	0.00703674813968
32	384	2.40109708764	-0.0279663432467
40	384	1.94135787732	0.0231384347037
48	384	1.64810036103	-0.00524027392356
56	384	1.4203607453	-0.00492934824683
64	384	1.25924053953	-0.0105570685807
72	384	1.12032257325	3.2048571126e-06
80	384	0.999318735707	0.00404358486364
96	384	0.82686614243	0.00407833256743
112	384	0.712818492424	-0.00680790999441
128	384	0.610181614896	0.00635453105593
144	384	0.540693838316	-0.00205987702924
160	384	0.474446530571	0.00901877992473
180	384	0.421299695783	0.00375868529555

0.5	512	9.96653769744	0.00163326719074
1	512	9.87850015979	-0.00239078784858
2	512	9.50970048964	0.0179205952691
4	512	8.39251755506	0.0186080170018
8	512	6.00893776765	0.0544653388178
16	512	3.70875577898	-0.0772629318325
24	512	2.60290364145	-0.0292578255612
32	512	2.01384254568	-0.00996113516765
40	512	1.60465164561	0.0164884978235
48	512	1.35014233626	0.0108159525244
56	512	1.16374909187	0.000799926534368
64	512	1.03191993079	-0.000963014545307
72	512	0.914140518244	0.00291639221151
80	512	0.822129689733	-0.00320984004838
96	512	0.688265954795	-0.0109051736545
112	512	0.580615886921	-0.0027581848511
128	512	0.494043925121	0.0102322828364
144	512	0.4347113554	0.00406278276907
160	512	0.396743323496	-0.00144970952185
180	512	0.347612973016	0.0022382900526

0.5	1024	9.93724683123	0.000533197213038
1	1024	9.75774559475	0.00183110146394
2	1024	9.12797466136	-0.0314764204966
4	1024	7.24816591609	-0.0135958822975
8	1024	4.68480946653	0.0946928730054
16	1024	2.74151414533	-0.0466397425797
24	1024	1.87762615831	0.00697210162837
32	1024	1.41895215871	0.0294238797506
40	1024	1.16903663508	-0.00699862451053
48	1024	0.966023587028	0.00209505990838
56	1024	0.844695315452	-0.0160368861298
64	1024	0.736061151345	-0.00693121832145
72	1024	0.650622003899	-0.00139022548511
80	1024	0.578859199742	0.0059610056258
96	1024	0.487723423141	-0.00795752126022
112	1024	0.413255967562	-0.00651934528351
128	1024	0.352826182682	0.00254661109656
144	1024	0.306990056682	0.00329912483983
160	1024	0.280680002775	-0.00280828026678
180	1024	0.247678380179	-0.00123765026021

0.5	2048	9.87957388669	-0.00138681381569
1	2048	9.54665680022	-0.0214275610789
2	2048	8.34237310784	0.0690348535712
4	2048	6.03676450665	-0.0294727930017
8	2048	3.63608700941	0.0421543898735
16	2048	2.02237601287	-0.00462501101253
24	2048	1.37670704337	0.00553865117524
32	2048	1.04185699559	-0.00652110938342
40	2048	0.847620425431	-0.00879419079447
