Angle	Frequency	m	p	ARF	AF
24.0	10.0	8.74298064466	0.039198084293	75.894663844	240.0
32.0	6.0	8.66282493974	0.00752960154283	78.3836717691	192.0
8.0	96.0	8.76865631285	0.00499735308629	78.3836717691	768.0
4.0	384.0	8.85688441032	0.00516010682102	78.3836717691	1536.0
16.0	24.0	8.67363657137	0.0150350239418	78.3836717691	384.0
56.0	2.0	8.69301430299	0.0117332460637	79.1959594929	112.0
112.0	0.5	8.84087183396	-0.0483136485861	79.1959594929	56.0
80.0	1.0	8.66692671298	0.0326133734243	80.0	80.0
40.0	4.0	8.67319502923	-0.0206335305504	80.0	160.0
24.0	12.0	8.57509893839	-0.0011574776078	83.1384387633	288.0
8.0	112.0	8.48333035518	0.0501382751982	84.6640419541	896.0
2.0	2048.0	8.34237310784	0.0690348535712	90.5096679919	4096.0
128.0	0.5	8.42472702021	0.105818719215	90.5096679919	64.0
16.0	32.0	8.41646749843	-0.0535448809955	90.5096679919	512.0
64.0	2.0	8.31953583255	4.94468825169e-05	90.5096679919	128.0
32.0	8.0	8.28832910127	0.0743982432803	90.5096679919	256.0
4.0	512.0	8.39251755506	0.0186080170018	90.5096679919	2048.0
8.0	128.0	8.39560421203	0.0062156205438	90.5096679919	1024.0
24.0	16.0	8.22496027864	-0.0244085948169	96.0	384.0
96.0	1.0	8.25233592883	-0.0571085468014	96.0	96.0
48.0	4.0	8.18218906668	-0.0440200383098	96.0	192.0
40.0	6.0	8.11977176664	0.00196070582924	97.9795897113	240.0
8.0	160.0	8.17594182828	0.0267637565696	101.192885125	1280.0
32.0	10.0	8.01416576516	0.0446281627341	101.192885125	320.0
16.0	40.0	8.1008812081	0.0109118139251	101.192885125	640.0
144.0	0.5	8.10394968065	0.0203433893598	101.823376491	72.0
72.0	2.0	8.01189661155	-0.00575388636127	101.823376491	144.0
24.0	20.0	7.86241082501	0.0284077876832	107.33126292	480.0
16.0	48.0	7.80201028632	-0.0807874224231	110.851251684	768.0
32.0	12.0	7.78344477175	-0.0174278586136	110.851251684	384.0
8.0	192.0	7.94877893675	0.0264053000012	110.851251684	1536.0
112.0	1.0	7.71355156192	0.0145192375508	112.0	112.0
56.0	4.0	7.67515040202	0.036633814993	112.0	224.0
160.0	0.5	7.89407032096	-0.064480306293	113.13708499	80.0
80.0	2.0	7.64662666669	-0.00452682753901	113.13708499	160.0
40.0	8.0	7.68160232882	0.00347464593828	113.13708499	320.0
48.0	6.0	7.48932084362	0.0686627237894	117.575507654	288.0
24.0	24.0	7.6656878887	-0.0850627910499	117.575507654	576.0
16.0	56.0	7.49182517627	0.0326723945332	119.733036377	896.0
8.0	224.0	7.74110669505	-0.106095652417	119.733036377	1792.0
40.0	10.0	7.32445223962	0.00883166969648	126.491106407	400.0
180.0	0.5	7.44113150324	0.0218062715796	127.279220614	90.0
32.0	16.0	7.28337641767	-0.0161949879317	128.0	512.0
16.0	64.0	7.31694	-0.0179489472228	128.0	1024.0
4.0	1024.0	7.24816591609	-0.0135958822975	128.0	4096.0
64.0	4.0	7.26572186551	-0.0390019400517	128.0	256.0
128.0	1.0	7.25281936888	0.0341301298977	128.0	128.0
8.0	256.0	7.24842812649	0.0966498790448	128.0	2048.0
2.0	4096.0	7.29553935455	0.131210925207	128.0	8192.0
48.0	8.0	6.99967788762	0.0543623487658	135.764501988	384.0
24.0	32.0	7.08365386578	0.0342829477644	135.764501988	768.0
96.0	2.0	7.02094128548	-0.011118952817	135.764501988	192.0
56.0	6.0	6.99870481887	0.0110922239927	137.171425596	336.0
40.0	12.0	6.96695611028	0.0146939534966	138.564064606	480.0
32.0	20.0	6.83044846419	0.0718675787742	143.10835056	640.0
16.0	80.0	7.00253230019	-0.0429969837941	143.10835056	1280.0
8.0	320.0	7.28439720116	0.0736618537723	143.10835056	2560.0
72.0	4.0	6.73404253454	0.0765549051836	144.0	288.0
144.0	1.0	6.82531718915	-0.0346196406691	144.0	144.0
48.0	10.0	6.66599892224	-0.00518803725935	151.789327688	480.0
24.0	40.0	6.73925164004	-0.0380655972066	151.789327688	960.0
32.0	24.0	6.58703728283	-0.0410535765846	156.767343538	768.0
16.0	96.0	6.62846768899	-0.0237827475516	156.767343538	1536.0
8.0	384.0	6.87167229278	-0.0739870850497	156.767343538	3072.0
64.0	6.0	6.55996583605	-0.0789782096093	156.767343538	384.0
112.0	2.0	6.38472854723	0.03105331106	158.391918986	224.0
56.0	8.0	6.48410852698	0.00394489635915	158.391918986	448.0
160.0	1.0	6.37383944282	0.122969799996	160.0	160.0
80.0	4.0	6.38998081136	-0.0498815257416	160.0	320.0
40.0	16.0	6.51620235523	-0.0563218106798	160.0	640.0
24.0	48.0	6.34135030333	-0.0392961124067	166.276877527	1152.0
48.0	12.0	6.33399590424	-0.0393939518533	166.276877527	576.0
16.0	112.0	6.21080901241	0.129563357028	169.328083908	1792.0
72.0	6.0	5.93495768468	0.0644797453834	176.36326148	432.0
56.0	10.0	6.03424122072	0.0215940970225	177.087548969	560.0
40.0	20.0	6.06267637066	-0.00171443482407	178.8854382	800.0
24.0	56.0	5.99658644806	0.0417047583621	179.599554565	1344.0
180.0	1.0	6.06948636937	-0.0134672559708	180.0	180.0
64.0	8.0	5.99937655461	-0.0865032646632	181.019335984	512.0
4.0	2048.0	6.03676450665	-0.0294727930017	181.019335984	8192.0
16.0	128.0	6.07654648438	-0.0706986720387	181.019335984	2048.0
32.0	32.0	5.98679305259	0.0456367202897	181.019335984	1024.0
8.0	512.0	6.00893776765	0.0544653388178	181.019335984	4096.0
128.0	2.0	5.86363432522	0.0203504051492	181.019335984	256.0
48.0	16.0	5.83358392649	-0.0666858817588	192.0	768.0
96.0	4.0	5.63073782428	0.0785420092443	192.0	384.0
24.0	64.0	5.81161541133	0.00659936790509	192.0	1536.0
56.0	12.0	5.71531338018	0.000160931779573	193.989690448	672.0
80.0	6.0	5.60497107727	0.00371932867567	195.959179423	480.0
40.0	24.0	5.67631872366	0.0354975010317	195.959179423	960.0
32.0	40.0	5.61941408771	-0.00583219454072	202.385770251	1280.0
64.0	10.0	5.55354001577	0.0181285245512	202.385770251	640.0
16.0	160.0	5.79630054712	0.0665128708781	202.385770251	2560.0
72.0	8.0	5.45299567136	0.0612366054049	203.646752982	576.0
144.0	2.0	5.36924635229	0.0566716509984	203.646752982	288.0
48.0	20.0	5.35390341923	-0.00523074256133	214.66252584	960.0
24.0	80.0	5.44132560843	-0.0389259464587	214.66252584	1920.0
16.0	192.0	5.50626568563	0.0217072719597	221.702503369	3072.0
32.0	48.0	5.27330208571	-0.0248590353389	221.702503369	1536.0
64.0	12.0	5.18662791478	0.0539052560638	221.702503369	768.0
112.0	4.0	5.10354744924	0.00875728590511	224.0	448.0
56.0	16.0	5.12710859166	0.0416485294343	224.0	896.0
160.0	2.0	4.98936768754	0.0378029441683	226.27416998	320.0
80.0	8.0	5.1357952452	-0.0211882754173	226.27416998	640.0
40.0	32.0	5.17408087579	0.00122720962417	226.27416998	1280.0
72.0	10.0	5.0961450491	0.0112098604437	227.683991532	720.0
24.0	96.0	5.08947796349	0.0468945351992	235.151015307	2304.0
96.0	6.0	4.91259128438	0.0318786924328	235.151015307	576.0
48.0	24.0	5.0830617253	-0.112247678694	235.151015307	1152.0
32.0	56.0	4.97100979856	-0.041120541022	239.466072754	1792.0
16.0	224.0	5.25100744686	-0.103201306993	239.466072754	3584.0
72.0	12.0	4.71270583515	0.031604020801	249.41531629	864.0
56.0	20.0	4.76807167672	0.00736473958065	250.43961348	1120.0
40.0	40.0	4.8286212856	-0.00174754553695	252.982212813	1600.0
80.0	10.0	4.6205457063	0.0570114094882	252.982212813	800.0
24.0	112.0	4.78330846315	-0.00268936657906	253.992125862	2688.0
180.0	2.0	4.63858066172	-0.0469434110999	254.558441227	360.0
64.0	16.0	4.56753734394	0.163870598164	256.0	1024.0
8.0	1024.0	4.68480946653	0.0946928730054	256.0	8192.0
16.0	256.0	4.71910070798	0.0538971758984	256.0	4096.0
32.0	64.0	4.76150806351	-0.0318480996674	256.0	2048.0
4.0	4096.0	4.87191240371	-0.0561890484365	256.0	16384.0
128.0	4.0	4.58068535779	-0.00660881301039	256.0	512.0
48.0	32.0	4.50198191322	0.0581834967855	271.529003976	1536.0
24.0	128.0	4.53300459309	0.0758592739969	271.529003976	3072.0
96.0	8.0	4.40472955598	0.0561815057399	271.529003976	768.0
112.0	6.0	4.36487517312	0.000511300058581	274.342851192	672.0
56.0	24.0	4.46656733354	-0.00489428100682	274.342851192	1344.0
40.0	48.0	4.47587408834	-0.0527821924922	277.128129211	1920.0
80.0	12.0	4.40128333074	-0.0342128892156	277.128129211	960.0
32.0	80.0	4.39180330057	0.0404779039921	286.21670112	2560.0
64.0	20.0	4.2590181651	0.0561124538023	286.21670112	1280.0
16.0	320.0	4.79255393677	-0.00540378638614	286.21670112	5120.0
144.0	4.0	4.16687286243	0.00336858479759	288.0	576.0
72.0	16.0	4.32272612429	-0.057675413156	288.0	1152.0
40.0	56.0	4.20600556012	-0.027039700546	299.332590942	2240.0
24.0	160.0	4.32168058059	0.010203183925	303.578655376	3840.0
48.0	40.0	4.1683157913	0.034947869582	303.578655376	1920.0
96.0	10.0	4.08981025976	-0.0472231453202	303.578655376	960.0
16.0	384.0	4.32248781188	-0.0430415754929	313.534687076	6144.0
32.0	96.0	4.13551963055	0.0105577224741	313.534687076	3072.0
64.0	24.0	4.002889404	0.0120225456433	313.534687076	1536.0
128.0	6.0	3.88315984128	0.004442411082	313.534687076	768.0
56.0	32.0	4.03982338537	-0.0399674926466	316.783837972	1792.0
112.0	8.0	3.86486288657	0.0282466542891	316.783837972	896.0
40.0	64.0	3.99169944976	-0.00353285419355	320.0	2560.0
80.0	16.0	3.8984374067	0.0192208037228	320.0	1280.0
160.0	4.0	3.77231913629	0.0038048410578	320.0	640.0
72.0	20.0	3.9327639007	-0.00807012341905	321.99378876	1440.0
24.0	192.0	4.09869538379	-0.00544373844606	332.553755053	4608.0
48.0	48.0	3.7974665238	0.0541322497636	332.553755053	2304.0
96.0	12.0	3.80768742908	-0.0713567018431	332.553755053	1152.0
32.0	112.0	3.81509504519	-0.00745511792302	338.656167816	3584.0
72.0	24.0	3.62875289671	0.0225527482947	352.726522961	1728.0
144.0	6.0	3.457246048	0.0768361572427	352.726522961	864.0
112.0	10.0	3.55888644909	-0.044510303639	354.175097939	1120.0
56.0	40.0	3.70291263709	-0.030142545832	354.175097939	2240.0
40.0	80.0	3.71003651574	-0.046064964481	357.7708764	3200.0
80.0	20.0	3.56962556539	0.039676278711	357.7708764	1600.0
48.0	56.0	3.66287968709	-0.0518725535335	359.19910913	2688.0
24.0	224.0	3.81107541129	0.0107083024936	359.19910913	5376.0
180.0	4.0	3.49758812196	-0.051844363303	360.0	720.0
128.0	8.0	3.46895250985	-0.0115131084314	362.038671968	1024.0
64.0	32.0	3.61988250983	-0.0363207217139	362.038671968	2048.0
16.0	512.0	3.70875577898	-0.0772629318325	362.038671968	8192.0
8.0	2048.0	3.63608700941	0.0421543898735	362.038671968	16384.0
32.0	128.0	3.67297195938	-0.0429372262303	362.038671968	4096.0
48.0	64.0	3.46936487046	-0.0212202855824	384.0	3072.0
24.0	256.0	3.50566943604	-0.0597810220598	384.0	6144.0
96.0	16.0	3.30611740556	0.0509610096923	384.0	1536.0
112.0	12.0	3.26068903552	0.062788916521	387.979380895	1344.0
56.0	48.0	3.34558281627	0.0510865089881	387.979380895	2688.0
80.0	24.0	3.34660990637	-0.0231394680249	391.918358845	1920.0
40.0	96.0	3.41274445307	0.0499955555672	391.918358845	3840.0
160.0	6.0	3.20279347734	-0.0203238202814	391.918358845	960.0
32.0	160.0	3.43204375076	0.0149082369114	404.771540502	5120.0
128.0	10.0	3.12819804989	-0.00262330812441	404.771540502	1280.0
64.0	40.0	3.21893384496	0.0844748013665	404.771540502	2560.0
144.0	8.0	3.10331248509	0.0193744679039	407.293505963	1152.0
72.0	32.0	3.24700969004	0.0289521214862	407.293505963	2304.0
56.0	56.0	3.21381492421	-0.0553301328851	419.065627319	3136.0
40.0	112.0	3.17068270011	0.00189486741028	423.32020977	4480.0
96.0	20.0	3.01643003595	0.0570165257201	429.32505168	1920.0
24.0	320.0	3.46545005846	0.0102124490584	429.32505168	7680.0
48.0	80.0	3.14952915602	0.0353067128129	429.32505168	3840.0
180.0	6.0	2.90760442724	-0.0272349593057	440.908153701	1080.0
64.0	48.0	2.98137935644	0.0501616262838	443.405006738	3072.0
128.0	12.0	2.90548536142	0.0227366732878	443.405006738	1536.0
32.0	192.0	3.18418963348	0.0350381287886	443.405006738	6144.0
112.0	16.0	2.93005365727	-0.0171187195361	448.0	1792.0
56.0	64.0	2.97954952113	0.0510667039036	448.0	3584.0
80.0	32.0	2.97161829973	0.00454533157665	452.548339959	2560.0
160.0	8.0	2.80198440903	0.0379486412106	452.548339959	1280.0
40.0	128.0	3.01510146701	0.0167771158386	452.548339959	5120.0
72.0	40.0	2.96184609765	-0.00465287019899	455.367983064	2880.0
144.0	10.0	2.81377484831	0.00158999495384	455.367983064	1440.0
48.0	96.0	2.9529184606	-0.0195737292212	470.302030614	4608.0
96.0	24.0	2.82843351647	-0.029366028623	470.302030614	2304.0
24.0	384.0	3.09854931654	0.00703674813968	470.302030614	9216.0
32.0	224.0	2.9917346637	0.0104839680997	478.932145507	7168.0
64.0	56.0	2.85104955561	-0.0377825050479	478.932145507	3584.0
72.0	48.0	2.73163219992	-0.0247603833203	498.83063258	3456.0
144.0	12.0	2.58521412793	0.0406181050135	498.83063258	1728.0
112.0	20.0	2.6510638601	0.00299561343859	500.87922696	2240.0
56.0	80.0	2.77352249679	-0.00650295560876	500.87922696	4480.0
80.0	40.0	2.7372630058	-0.0806684726744	505.964425627	3200.0
40.0	160.0	2.87139190429	-0.024005377195	505.964425627	6400.0
160.0	10.0	2.5729214421	-0.00278597562855	505.964425627	1600.0
48.0	112.0	2.70067561535	-0.00910227123937	507.984251724	5376.0
180.0	8.0	2.52450391323	0.0292023970653	509.116882454	1440.0
128.0	16.0	2.58355515228	-0.0276389018638	512.0	2048.0
16.0	1024.0	2.74151414533	-0.0466397425797	512.0	16384.0
8.0	4096.0	2.80503020209	-0.0554199039432	512.0	32768.0
32.0	256.0	2.71957036676	-0.000152471212411	512.0	8192.0
64.0	64.0	2.68611253893	-0.00754557999394	512.0	4096.0
72.0	56.0	2.54371041841	-0.0048174665846	538.798663695	4032.0
