Frequency	Angle	Speed	RealArea	Stdev
6	96	1.0	1.2874272041	0.408380214654
8	96	1.0	1.07371096253	0.377627021421
10	96	1.0	0.879451892797	0.313246468463
12	96	1.0	0.804176485855	0.278829638599
16	96	1.0	0.643856040188	0.222217091145
20	96	1.0	0.543585125432	0.198146303665
24	96	1.0	0.467666023341	0.168375977805
32	96	1.0	0.359784153909	0.130964857549
40	96	1.0	0.310577416891	0.109553092781
48	96	1.0	0.249483431171	0.0951961018914
56	96	1.0	0.211146194365	0.0753102388537
64	96	1.0	0.190174196167	0.0684088278859
80	96	1.0	0.16839997482	0.061858799044
96	96	1.0	0.142415031484	0.0511820562697
112	96	1.0	0.11781365889	0.0462866867663
128	96	1.0	0.103656963935	0.0408610571161
160	96	1.0	0.0933932925684	0.0334645428432
192	96	1.0	0.0802161999897	0.0277292833825
224	96	1.0	0.0691934332657	0.0244166083748
256	96	1.0	0.0557314383948	0.020213247856
320	96	1.0	0.0534379020612	0.0180119524971
384	96	1.0	0.0417658470756	0.0147886379848
512	96	1.0	0.0282930380299	0.0100764909596
1024	96	1.0	0.0152812215357	0.00591754998513
2048	96	1.0	0.00728792195911	0.00258492252854
4096	96	1.0	0.00388345270354	0.00136133401102

0.5	112	1.0	2.55226455591	0.656169945999
1	112	1.0	2.49835855698	0.558987814257
2	112	1.0	2.00850399804	0.560997419277
4	112	1.0	1.32230310726	0.409618146078
6	112	1.0	1.02159268578	0.386406207813
8	112	1.0	0.819459723723	0.307112313515
10	112	1.0	0.745413057616	0.2860299472
12	112	1.0	0.624186212943	0.242427315953
16	112	1.0	0.489912249758	0.173052486487
20	112	1.0	0.414709890317	0.15183886162
24	112	1.0	0.343678873889	0.126511607022
32	112	1.0	0.282008337589	0.104398370612
40	112	1.0	0.228949625286	0.0859659948984
48	112	1.0	0.186322985092	0.0673586806933
56	112	1.0	0.160675562312	0.0561013324998
64	112	1.0	0.148882041837	0.0581782387177
80	112	1.0	0.124866291183	0.0444572879361
96	112	1.0	0.103655822581	0.0371181435032
112	112	1.0	0.0868252982194	0.0311078031266
128	112	1.0	0.0798724347148	0.0284682546959
160	112	1.0	0.0700791866862	0.0248718821915
192	112	1.0	0.0619317316285	0.0222588107202
224	112	1.0	0.0487595092685	0.0150678555491
256	112	1.0	0.0393860437011	0.0127911839369
320	112	1.0	0.0434920432113	0.0170803176011
384	112	1.0	0.0294523735547	0.0106559951811
512	112	1.0	0.0202880093039	0.00744630905915
1024	112	1.0	0.0104647048615	0.00365313998104
2048	112	1.0	0.00537674926343	0.00194071651058
4096	112	1.0	0.00259988447393	0.000997104085145

0.5	128	1.0	2.43645825378	0.606741532921
1	128	1.0	2.28492288721	0.559877935682
2	128	1.0	1.73495685625	0.537854462118
4	128	1.0	1.13787135719	0.383915203997
6	128	1.0	0.802719507365	0.305103164792
8	128	1.0	0.684953615889	0.247393218729
10	128	1.0	0.562174449681	0.219215757589
12	128	1.0	0.510818109933	0.185680904624
16	128	1.0	0.388649130417	0.151161800161
20	128	1.0	0.310158531783	0.120168318577
24	128	1.0	0.274322796994	0.0971283455671
32	128	1.0	0.210118378887	0.0782386797336
40	128	1.0	0.178038209319	0.070476245442
48	128	1.0	0.14358763785	0.0498133856477
56	128	1.0	0.123069592796	0.049172066139
64	128	1.0	0.109946666202	0.03914612909
80	128	1.0	0.0973082012606	0.0355376447326
96	128	1.0	0.0793938014601	0.0311840279022
112	128	1.0	0.0657605941223	0.0227827401766
128	128	1.0	0.05694285146	0.0197095753422
160	128	1.0	0.0537312026654	0.0200838804226
192	128	1.0	0.0438910616735	0.014925908877
224	128	1.0	0.0378897388388	0.0127279308909
256	128	1.0	0.0306796581337	0.0122513394419
320	128	1.0	0.0314378301418	0.0103024330575
384	128	1.0	0.0234265653671	0.00922273726364
512	128	1.0	0.0154347833439	0.00524609215154
1024	128	1.0	0.00789990464318	0.00279408750502
2048	128	1.0	0.00394656487687	0.00132635579291
