Angle	Frequency	AF	ARF	ax	bx	cx
32.0	40.0	1280.0	202.385770251	1.59541295402	0	0
64.0	10.0	640.0	202.385770251	1.509823228	0	0
16.0	160.0	2560.0	202.385770251	1.62031721921	0	0
72.0	8.0	576.0	203.646752982	1.50921651735	0	0
144.0	2.0	288.0	203.646752982	1.51201463177	0	0
48.0	20.0	960.0	214.66252584	1.45354623145	0	0
24.0	80.0	1920.0	214.66252584	1.46689013877	0	0
16.0	192.0	3072.0	221.702503369	1.5617845463	0	0
32.0	48.0	1536.0	221.702503369	1.39641299827	0	0
64.0	12.0	768.0	221.702503369	1.46549765687	0	0
112.0	4.0	448.0	224.0	1.33881882689	0	0
56.0	16.0	896.0	224.0	1.38584162003	0	0
160.0	2.0	320.0	226.27416998	1.34518846659	0	0
80.0	8.0	640.0	226.27416998	1.31461839287	0	0
40.0	32.0	1280.0	226.27416998	1.43193998391	0	0
72.0	10.0	720.0	227.683991532	1.35190913618	0	0
24.0	96.0	2304.0	235.151015307	1.40213625167	0	0
96.0	6.0	576.0	235.151015307	1.28913874107	0	0
48.0	24.0	1152.0	235.151015307	1.36340021708	0	0
32.0	56.0	1792.0	239.466072754	1.27350985501	0	0
16.0	224.0	3584.0	239.466072754	1.33529948051	0	0
72.0	12.0	864.0	249.41531629	1.18745500314	0	0
56.0	20.0	1120.0	250.43961348	1.21091192432	0	0
40.0	40.0	1600.0	252.982212813	1.24346679243	0	0
80.0	10.0	800.0	252.982212813	1.19231499896	0	0
24.0	112.0	2688.0	253.992125862	1.22030645952	0	0
180.0	2.0	360.0	254.558441227	1.17470519074	0	0
64.0	16.0	1024.0	256.0	1.16777561316	0	0
8.0	1024.0	8192.0	256.0	1.17307294482	0	0
16.0	256.0	4096.0	256.0	1.2484656874	0	0
32.0	64.0	2048.0	256.0	1.19826020564	0	0
4.0	4096.0	16384.0	256.0	1.38632415031	0	0
128.0	4.0	512.0	256.0	1.11792579985	0	0
48.0	32.0	1536.0	271.529003976	1.16692980377	0	0
24.0	128.0	3072.0	271.529003976	1.12228258068	0	0
96.0	8.0	768.0	271.529003976	1.03564600213	0	0
112.0	6.0	672.0	274.342851192	0.979305386063	0	0
56.0	24.0	1344.0	274.342851192	1.02696143487	0	0
40.0	48.0	1920.0	277.128129211	1.02434546208	0	0
80.0	12.0	960.0	277.128129211	1.0587016102	0	0
32.0	80.0	2560.0	286.21670112	1.06161038933	0	0
64.0	20.0	1280.0	286.21670112	1.04463951275	0	0
16.0	320.0	5120.0	286.21670112	1.20707400107	0	0
144.0	4.0	576.0	288.0	0.979288316689	0	0
72.0	16.0	1152.0	288.0	0.963618442001	0	0
40.0	56.0	2240.0	299.332590942	0.976790892657	0	0
24.0	160.0	3840.0	303.578655376	1.06831642241	0	0
48.0	40.0	1920.0	303.578655376	0.909356142593	0	0
96.0	10.0	960.0	303.578655376	0.925166255318	0	0
16.0	384.0	6144.0	313.534687076	1.03902970751	0	0
32.0	96.0	3072.0	313.534687076	0.94360505378	0	0
64.0	24.0	1536.0	313.534687076	0.917488256553	0	0
128.0	6.0	768.0	313.534687076	0.844091508657	0	0
56.0	32.0	1792.0	316.783837972	0.840849398167	0	0
112.0	8.0	896.0	316.783837972	0.817961875508	0	0
40.0	64.0	2560.0	320.0	0.859931517441	0	0
80.0	16.0	1280.0	320.0	0.854862510861	0	0
160.0	4.0	640.0	320.0	0.800446256241	0	0
72.0	20.0	1440.0	321.99378876	0.849245689302	0	0
24.0	192.0	4608.0	332.553755053	0.923024195081	0	0
48.0	48.0	2304.0	332.553755053	0.853409791827	0	0
96.0	12.0	1152.0	332.553755053	0.770173400144	0	0
32.0	112.0	3584.0	338.656167816	0.822593683222	0	0
72.0	24.0	1728.0	352.726522961	0.721711335594	0	0
144.0	6.0	864.0	352.726522961	0.696420175072	0	0
112.0	10.0	1120.0	354.175097939	0.733620010051	0	0
56.0	40.0	2240.0	354.175097939	0.751751310884	0	0
40.0	80.0	3200.0	357.7708764	0.776753085809	0	0
80.0	20.0	1600.0	357.7708764	0.760594788837	0	0
48.0	56.0	2688.0	359.19910913	0.724207293868	0	0
24.0	224.0	5376.0	359.19910913	0.776713549883	0	0
180.0	4.0	720.0	360.0	0.633674189593	0	0
128.0	8.0	1024.0	362.038671968	0.651201748503	0	0
64.0	32.0	2048.0	362.038671968	0.732955065991	0	0
16.0	512.0	8192.0	362.038671968	0.732694231975	0	0
8.0	2048.0	16384.0	362.038671968	0.783000012224	0	0
32.0	128.0	4096.0	362.038671968	0.743805171104	0	0
48.0	64.0	3072.0	384.0	0.652838344816	0	0
24.0	256.0	6144.0	384.0	0.707023062361	0	0
96.0	16.0	1536.0	384.0	0.63812597765	0	0
112.0	12.0	1344.0	387.979380895	0.617766616426	0	0
56.0	48.0	2688.0	387.979380895	0.636308185393	0	0
80.0	24.0	1920.0	391.918358845	0.651092661692	0	0
40.0	96.0	3840.0	391.918358845	0.65706933056	0	0
160.0	6.0	960.0	391.918358845	0.5671544617	0	0
32.0	160.0	5120.0	404.771540502	0.644281113511	0	0
128.0	10.0	1280.0	404.771540502	0.571735319874	0	0
64.0	40.0	2560.0	404.771540502	0.593237836382	0	0
144.0	8.0	1152.0	407.293505963	0.566742582768	0	0
72.0	32.0	2304.0	407.293505963	0.585225418014	0	0
56.0	56.0	3136.0	419.065627319	0.551348459225	0	0
40.0	112.0	4480.0	423.32020977	0.598009186385	0	0
96.0	20.0	1920.0	429.32505168	0.523760378377	0	0
24.0	320.0	7680.0	429.32505168	0.683108258618	0	0
48.0	80.0	3840.0	429.32505168	0.578442845073	0	0
180.0	6.0	1080.0	440.908153701	0.500980713249	0	0
