"Frequency"	"Angle"	"Speed"	"RealArea"	"RealAreaDivSS"	"Stdev"	"RaDivSpeed"	"Time"	"TimeDivSpeed"	"TimeDivSS"	"Errors"	"CappedErr"	"Frates"	"Perims2s"	"Perims5s"
20	90	2.19	2.8026728688	0.5843649775	1.0022039507	1.2797593008	0.4570138899	0.2086821415	0.0952886491	4.3846153846	2.9807692308	32.6923076923	2.2019015186	5.5047537965
30	90	2.19	2.1225049474	0.442548101	0.8222768034	0.9691803413	0.3904218297	0.1782748081	0.081404022	4.4615384615	2.7307692308	32.6923076923	1.9637634404	4.9094086009
														
1	120	2.19	11.8782736419	2.4766526223	2.7223302819	5.4238692429	0.2867660295	0.1309433925	0.0597915034	1.5	1.3846153846	5.7692307692	6.3340532148	15.8351330369
2	120	2.19	8.9865652131	1.8737234864	2.4963114231	4.1034544352	0.4253263784	0.1942129582	0.0886817161	3.0961538462	2.4038461539	17.3076923077	5.2669728768	13.167432192
4	120	2.19	5.7456293076	1.1979794641	1.9653382486	2.6235750263	0.4047777864	0.1848300395	0.0843972783	5.6538461539	2.9038461539	36.5384615385	3.9175877359	9.7939693396
8	120	2.19	3.6167372439	0.7540996318	1.2303138153	1.6514781936	0.5944864373	0.2714549942	0.1239520521	7.3461538462	3.5769230769	51.9230769231	2.7211987298	6.8029968244
13	120	2.19	2.4845077612	0.5180266803	0.8604644854	1.1344784298	0.4574828391	0.2088962735	0.0953864263	6.2692307692	3.2115384615	38.4615384615	2.0221422413	5.0553556032
20	120	2.19	1.6810994067	0.3505138356	0.6054153224	0.7676252998	0.4864724568	0.2221335419	0.1014308411	3.3653846154	2.7115384615	19.2307692308	1.6956791888	4.239197972
30	120	2.19	1.2344567276	0.2573876124	0.4008513474	0.563678871	0.2418160707	0.1104182971	0.0504193138	1.5	1.2884615385	5.7692307692	1.5186172867	3.7965432167
														
1	180	2.19	7.9845646551	1.6648036228	3.1506268339	3.6459199338	0.3313170027	0.1512863026	0.0690805035	2.0384615385	1.6923076923	7.6923076923	4.9526196118	12.3815490296
2	180	2.19	5.3024208203	1.1055692793	2.1373489655	2.4211967216	0.6715241982	0.306632054	0.1400146365	5.2692307692	2.7884615385	32.6923076923	3.77479735	9.4369933749
4	180	2.19	3.175304691	0.6620597342	1.1636686814	1.4499108178	0.5480197819	0.2502373434	0.1142636271	6.1923076923	3.4615384615	50	2.9162276871	7.2905692178
8	180	2.19	1.7420247119	0.3632169287	0.6934783981	0.7954450739	0.4453063797	0.2033362464	0.0928476011	3.1538461539	2.2115384615	19.2307692308	1.7876815323	4.4692038307
13	180	2.19	1.1937103571	0.2488918824	0.4401172735	0.5450732224	0.3429083658	0.1565791625	0.0714973345	1.6730769231	1.4230769231	7.6923076923	1.704492268	4.2612306701
20	180	2.19	0.8153853177	0.1700100744	0.3140278843	0.3723220629	0.2493859154	0.1138748472	0.0519976471	1.0769230769	1.0576923077	1.9230769231	1.2953885225	3.2384713062
30	180	2.19	0.5851476963	0.122004899	0.211538024	0.2671907289	0.2183981268	0.0997251721	0.0455366082	1.1538461539	1.1346153846	1.9230769231	1.1413983216	2.8534958041
