i	speed	frequency	angle	area	area/speed2	normedArea/s2	difficulty	amplitude	time	errors	product	product_-2.0	product_-1.5	product_-1.0	product_-0.5	product_0.0	product_0.5	product_1.5	product_2.0
5	5	4	180	16.587	0.6634799	0.23328449999999998	5.146354	4.5	2.0307619999999997	1.0	4.0615239999999995	2.4149966192771553	2.5947122598490275	2.871931162351911	3.3152736319720617	4.0615239999999995	5.412273449497886	14.424488882567115	32.492191999999996
6	5	8	45	65.56818	2.6227270000000003	0.9221705	3.861265	4.5	2.614258	3.0	10.457032	3.697119119142363	4.267846559356546	5.228516	6.967374396181063	10.457032	18.569057061911806	131.89588792251442	669.250048
7	3	16	90	5.971319	0.6634799	0.23328449999999998	3.087812	4.5	1.0738530000000002	0.0	1.0738530000000002	1.0738530000000002	1.0738530000000002	1.0738530000000002	1.0738530000000002	1.0738530000000002	1.0738530000000002	1.0738530000000002	1.0738530000000002
8	3	32	180	0.8901154	0.09890171	0.03477458	2.04167	4.5	1.032715	0.0	1.032715	1.032715	1.032715	1.032715	1.032715	1.032715	1.032715	1.032715	1.032715
9	3	32	90	3.2082200000000003	0.35646890000000003	0.1253372	2.5893200000000003	4.5	2.488525	5.0	14.93115	3.8947521046268774	4.688781782976879	6.095616462159508	8.834419830371742	14.93115	31.362744492928734	395.26295380947806	3225.1284
10	5	32	180	2.472543	0.09890171	0.03477458	3.4027839999999996	4.5	2.28125	3.0	9.125	3.2261746891636234	3.724202034968286	4.5625	6.079860075512076	9.125	16.20370346862716	115.09479719416983	584.0
11	3	4	90	17.31625	1.9240279999999998	0.6765026	3.375697	4.5	3.12207	5.0	18.732419999999998	4.886303614909408	5.882482571474518	7.647478441251076	11.08354431633546	18.732419999999998	39.347277483263376	495.8915864618427	4046.2027199999998
12	3	32	45	10.66099	1.184555	0.41649830000000004	3.5497980000000005	4.5	1.023682	0.0	1.023682	1.023682	1.023682	1.023682	1.023682	1.023682	1.023682	1.023682	1.023682
13	5	8	180	8.911724000000001	0.356469	0.1253372	4.315533	4.5	1.415649	1.0	2.831298	1.683499863146487	1.8087800618403418	2.0020300153599098	2.3110851009757014	2.831298	3.7729086404552743	10.055345364014716	22.650384
14	3	1	0	0.0	0.0	0.0	1.8	4.5	1.0902100000000001	1.0	2.1804200000000002	1.2964854888471167	1.3929654252000032	1.5417897678347723	1.7797971728406687	2.1804200000000002	2.9055667958023106	7.743754327027735	17.443360000000002
15	3	16	45	17.31625	1.9240279999999998	0.6765026	3.375697	4.5	1.432495	2.0	4.297485	1.8852694431843806	2.1124233145917177	2.481154121588379	3.115077022977852	4.297485	6.773988641555159	32.03286721134685	116.03209500000001
16	3	4	45	25.52536	2.8361520000000002	0.9972122	1.8200169999999998	4.5	1.615234	1.0	3.230468	1.9208477651943052	2.0637905684294786	2.284285829206144	2.6369129861917653	3.230468	4.304831434174103	11.472996282057874	25.843744
17	3	16	180	1.695271	0.18836340000000001	0.06622999	2.245274	4.5	2.915039	6.0	20.405273	4.741534113834952	5.800048791096929	7.7124682560544136	11.540348509609972	20.405273	45.68708813956077	716.0487467481548	6999.008639000001
18	3	4	180	5.971319	0.6634799	0.23328449999999998	3.087812	4.5	1.547852	1.0	3.095704	1.8407166113711917	1.9776963331162574	2.18899329094632	2.526910057306184	3.095704	4.12524869155135	10.9943823874286	24.765632
19	5	16	180	4.709085	0.18836340000000001	0.06622999	3.7421230000000003	4.5	0.8916016	0.0	0.8916016	0.8916016	0.8916016	0.8916016	0.8916016	0.8916016	0.8916016	0.8916016	0.8916016
20	5	16	45	48.10069	1.9240279999999998	0.6765025	5.626163	4.5	1.11438	0.0	1.11438	1.11438	1.11438	1.11438	1.11438	1.11438	1.11438	1.11438	1.11438
21	5	32	90	8.911724000000001	0.356469	0.1253372	4.315533	4.5	1.7735599999999998	2.0	5.320679999999999	2.334136226412022	2.615373522300103	3.0718960302718576	3.8567506377841445	5.320679999999999	8.386818310092925	39.659623224762605	143.65836
