Angle	Frequency	m	p	ARF	AF	m
48	32	4.5556890129	-0.0196969	271.5290039756	1536	4.5556890129
24	128	4.5836248516	0.0014877013	271.5290039756	3072	4.5836248516
112	6	4.3684198575	0.0139115701	274.3428511917	672	4.3684198575
56	24	4.4313833041	0.023904918	274.3428511917	1344	4.4313833041
80	12	4.3556239608	0.0398080813	277.128129211	960	4.3556239608
40	48	4.453772521	-0.0329378008	277.128129211	1920	4.453772521
64	20	4.2906048634	0.0428190895	286.21670112	1280	4.2906048634
32	80	4.3571147164	0.0372786693	286.21670112	2560	4.3571147164
16	320	4.7842136283	-0.0212743828	286.21670112	5120	4.7842136283
144	4	4.0841849686	0.0682609556	288	576	4.0841849686
72	16	4.2385242942	0.0370937729	288	1152	4.2385242942
40	56	4.1786581361	0.003889642	299.3325909419	2240	4.1786581361
96	10	4.1126142057	-0.053091322	303.5786553762	960	4.1126142057
48	40	4.1547024841	0.0455361716	303.5786553762	1920	4.1547024841
24	160	4.3397497762	-0.0393008695	303.5786553762	3840	4.3397497762
128	6	3.8955234188	0.0049346657	313.5346870762	768	3.8955234188
64	24	4.0234591649	0.010970869	313.5346870762	1536	4.0234591649
32	96	4.1587333897	-0.0532584207	313.5346870762	3072	4.1587333897
16	384	4.2087621254	0.0556457548	313.5346870762	6144	4.2087621254
112	8	3.8795791997	-0.0173692577	316.7838379716	896	3.8795791997
56	32	4.0138808577	0.0181408578	316.7838379716	1792	4.0138808577
160	4	3.8170141118	-0.0193620926	320	640	3.8170141118
80	16	3.9565940992	-0.036414674	320	1280	3.9565940992
40	64	3.9662051391	0.0626770924	320	2560	3.9662051391
72	20	3.8786050799	0.0655328399	321.99378876	1440	3.8786050799
96	12	3.7148010655	0.0831885201	332.5537550532	1152	3.7148010655
48	48	3.8518873535	0.0428801275	332.5537550532	2304	3.8518873535
24	192	4.0904649704	0.0057127576	332.5537550532	4608	4.0904649704
32	112	3.8016331307	0.0283329581	338.6561678163	3584	3.8016331307
144	6	3.5635876014	-0.0989270965	352.7265229608	864	3.5635876014
72	24	3.6414218734	-0.0152447801	352.7265229608	1728	3.6414218734
112	10	3.6089575357	-0.0145397823	354.1750979389	1120	3.6089575357
56	40	3.6522994515	0.0363721019	354.1750979389	2240	3.6522994515
80	20	3.5375309981	0.0417041064	357.7708764	1600	3.5375309981
40	80	3.6945049419	0.0140217622	357.7708764	3200	3.6945049419
48	56	3.5796275351	0.0475151671	359.1991091303	2688	3.5796275351
24	224	3.8227901649	-0.0245705087	359.1991091303	5376	3.8227901649
180	4	3.4870982923	-0.0246104597	360	720	3.4870982923
128	8	3.4554595685	0.0299496684	362.0386719675	1024	3.4554595685
